Run,Resolution_500,Resolution_1500,Resolution_2500,Resolution_3500,Resolution_4500
1,1267.631,884.654,631.091,659.522,607.624
2,1280.380,1059.797,634.172,658.458,607.492
3,1237.178,938.624,630.290,663.404,606.930
4,1235.690,960.458,629.364,658.732,607.331
5,1239.425,948.465,630.231,658.503,606.860
6,1280.576,1046.814,641.223,662.753,607.199
7,1284.040,910.215,633.370,660.801,607.164
8,1271.940,979.856,634.174,658.297,606.699
9,1273.032,966.342,631.212,659.131,606.921
10,1270.238,979.690,632.421,659.979,606.128
11,1236.329,886.110,633.426,663.979,607.659
12,1284.987,1020.428,641.587,658.131,605.921
13,1277.880,907.845,630.270,659.283,605.978
14,1282.619,1027.734,636.397,658.568,606.302
15,1281.080,927.695,631.540,659.718,607.566
16,1274.829,858.165,631.303,659.804,607.348
17,1283.757,959.777,633.345,659.310,605.791
18,1285.020,926.441,634.369,661.098,607.269
19,1276.607,1025.666,637.853,659.533,607.408
20,1284.687,1056.542,634.061,659.882,608.693
