Run,Resolution_500,Resolution_1500,Resolution_2500,Resolution_3500,Resolution_4500
1,1697.006,1188.394,767.302,700.569,714.656
2,1747.640,1192.260,774.650,690.555,713.903
3,1742.544,1226.834,774.682,685.316,716.192
4,1742.992,1223.243,774.963,690.511,707.348
5,1718.081,1214.906,778.340,692.986,713.795
6,1695.958,1201.069,761.338,679.231,704.613
7,1713.557,1139.787,774.120,686.055,715.099
8,1735.126,1201.373,773.684,687.514,716.058
9,1707.842,1239.645,776.267,689.304,716.091
10,1611.419,1209.138,774.158,689.214,715.324
11,1632.002,1222.403,774.469,687.360,716.623
12,1747.527,1171.693,777.581,688.776,716.649
13,1740.618,1243.236,767.500,692.693,716.291
14,1752.180,1243.948,776.247,692.124,716.630
15,1746.284,1252.923,774.902,692.718,715.067
16,1751.235,1124.108,772.610,691.130,714.822
17,1691.735,1057.747,765.401,693.536,714.726
18,1723.736,1232.379,775.718,687.935,717.150
19,1630.283,1229.633,776.272,688.287,716.536
20,1598.511,1223.680,774.239,687.161,716.146
